ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
295020128,1661932805004141,31 Aug 2022 08:00:00,ETH-PERPETUAL,settlement,long,2679,2679,1583.46,0,0,-0.0023293,0.0006997,-,0,0,-0.0023293,3.57200167,3.57582874,,,
295018217,1661932805040111,31 Aug 2022 08:00:00,ETH-30SEP22,settlement,short,-5712,-5712,1564.93,0,0,0.00321584,0,-,0,0,0.00321584,3.57521751,3.57582874,,,
294584849,1661846408976239,30 Aug 2022 08:00:00,ETH-PERPETUAL,settlement,long,2679,2679,1586.3,0,0,0.15499292,0.00102096,-,0,0,0.15499292,3.91072356,3.57486987,,,
294583004,1661846409176356,30 Aug 2022 08:00:00,ETH-30SEP22,settlement,short,-5712,-5712,1566.31,0,0,-0.3363926,0,-,0,0,-0.3363926,3.57433096,3.57486987,,,
294246531,1661760004487304,29 Aug 2022 08:00:00,ETH-PERPETUAL,settlement,long,2679,2679,1453.76,0,0,-0.04492434,0.00034293,-,0,0,-0.04492434,3.75573064,3.75718807,,,
294244532,1661760004362566,29 Aug 2022 08:00:00,ETH-30SEP22,settlement,short,-5712,-5712,1434.03,0,0,0.11538414,0,-,0,0,0.11538414,3.80065498,3.75718807,,,
294159423,1661730930976112,28 Aug 2022 23:55:30,ETH-PERPETUAL,trade,open buy,57,2679,1425,1425.2,1426.44,0,0.0000049,0,0,0,0,3.68527084,3.79679897,ETH-141521446,ETH-28136402306,Source: 'api:DCX'
294156741,1661730557734011,28 Aug 2022 23:49:17,ETH-PERPETUAL,trade,open buy,57,2622,1432.5,1433.18,1434.37,0,0.00001155,0,0,0,0,3.68527084,3.78226124,ETH-141520141,ETH-28135994133,Source: 'api:DCX'
294153395,1661729960261736,28 Aug 2022 23:39:20,ETH-PERPETUAL,trade,open buy,57,2565,1440,1440.61,1441.96,0,0.00097311,0,0,0,0,3.68527084,3.77317243,ETH-141518508,ETH-28104543188,Source: 'api:DCX'
294028809,1661673608557264,28 Aug 2022 08:00:00,ETH-PERPETUAL,settlement,long,2508,2508,1495.37,0,0,0.00081026,0.00151968,-,0,0,0.00081026,3.68527084,3.68748921,,,
